1,转账,1921453
0,,1732245
1,购买理财产品转出余额宝、淘宝基金、招财宝等,969038
1,直付通交易,880446
1,转账支出,658076
2,中国网络技术有限公司消费,559434
1,取款,372128
1,网上银行,343588
0,网购,288156
1,在线支付,268443
1,客户转账,264458
1,网上银行消费,250706
1,快捷支付,240393
2,中国网络技术有限公司,231479
1,网上支付,227130
1,网络还款,199761
1,余额宝转出到银行卡,173603
0,充值普通充值,164485
1,代发款项,159681
2,美团订单,158127
1,转账提现,154354
1,他行汇入,145187
1,,139217
1,存款,132430
0,快,126448
1,转帐存入,124704
2,火车票,124417
1,转账收入,115915
2,财付通快捷支付客服,113815
0,转帐支取,112581
1,余额宝单次转入,112103
1,提现快速提现,106093
1,本行取款,95461
1,信用卡还款,94792
1,银证转账,90550
1,网上转账还款,89598
1,银联消费,85256
1,转账到银行卡转账,78471
0,朝朝盈转出,78468
1,现存,77121
1,转账汇款,72885
1,财付通,72821
1,账单分期账单,72690
1,账单分期账单分期手续费,72369
1,银联取款,71981
2,网络技术有限公司,69033
1,财付通快,69026
1,蚂蚁花呗分期购还款,67556
1,银证,67019
0,结息,62094
2,饿了么订单,62049
0,代发划转,60114
1,网上银行网转,59562
1,跨行汇款,57479
1,信用卡快速还款,57426
2,手机银行网转,55638
2,美团订单,55291
2,北京三快科技有限公司,54398
1,余额宝自动转入,53022
1,行内汇入,52603
1,本行存款,52328
1,超级网银,51418
0,网转,51040
1,银联,50756
1,还款,50162
2,财付通支付科技有限公司,47949
1,批量业务,47557
2,手机银行还款,47520
1,转账,46919
0,自动柜员机,45775
0,转入朝朝盈,45637
2,掌上生活还款,44297
1,手续费,43366
2,手机转账,43245
1,财付通转入,43124
2,生活服务,43048
0,代发工资,42140
1,财付通快捷支付,41816
1,付款转账,41648
2,滴滴专车,41175
1,汇入汇款,41090
0,浙,41047
2,深圳市财付通科技有限公司,39729
2,掌上生活跨行还款,39352
1,网银转账,38242
1,代付业务,37923
2,中国铁路总公司资金清算中心,37828
0,工资,37598
1,银行转证券,37270
1,现支,36964
1,循环利息,35614
1,余额宝转出到余额,35343
1,手续费,35175
2,火车票,35018
2,滴滴打车,34912
2,铁道部铁路票务客服,33889
2,深圳市财付通科技有限公,33816
2,亚马逊中国,33688
0,快捷,31471
1,自动还款,31440
2,信用卡商城苹果店,30622
2,财付通滴滴专车,30508
1,汇率,30391
2,短信服务费,30380
1,网络取款,30140
1,转帐还款,30008
1,网银代发,30000
1,账单分期交易,29613
1,转存,29462
1,账单分期交易分期手续费,29445
1,批量业务利息,29336
2,收到群红包,28965
1,网上银行代付业务,28742
1,信用卡存款,27842
2,退款火车票,27692
2,专车,26993
0,交易,26659
0,转支,26465
1,分期手续费,26143
1,账户结息,24885
1,款项,24678
2,美团网北京三快科技有限公司,24632
1,银联代付,24491
0,退货,24281
2,百度外卖,24200
2,杭州快智科技有限公司,24160
1,代付,24127
2,饿了么订单,23771
2,深圳市财付通科技有限公司消费,23583
2,饿了么网上订餐,22276
1,转账收款到余额宝,22241
1,无折转账转出,22043
1,批量业务工资,21987
0,大众点评网,21895
1,跨行代付,21740
2,全家购物,21698
1,银联跨行业务手续费,21642
1,预借现金手续费,21458
1,网银在线京东商城,21089
1,跨行转账还款,21012
2,上海汉涛信息咨询有限公司,20839
2,团购订单编号,20823
2,手机银行跨行汇款,20512
1,财付通网络还款,20343
1,银联在线支付,20246
1,提现普通提现,19973
0,中国网络技术,19953
0,美团网,19939
1,本地交行取现,19913
1,小额普通,19168
2,连连银通电子支付有限公司消费,18320
1,样样行消费分期手续费,18191
1,京东,18048
0,无,17772
1,账户码转账,17771
1,财付通转,17519
1,现金分期,17427
1,招商银行网上商城,17318
1,证券转银行,17249
2,网银在线北京科技有限公司,17171
0,充,17111
2,收到红包,16793
1,账单分期,16452
1,滴滴出行,16208
1,网上银行跨行汇款,16160
0,总对总代发,16120
1,现金分期分期手续费,15978
0,收费,15872
1,本期利息,15801
1,货款,15481
1,利息,15480
0,代返还,15423
2,北京京东三佰陆拾度电子商务公司,15419
0,期,15275
1,账户管理费,15191
0,个人小件,14980
1,电子收款机,14565
1,信用卡消费,14525
0,_,14460
2,北京三快科技有限公司,14096
0,费,14055
0,去哪儿网,13983
0,转帐,13615
0,转入,13506
0,中国网络技浙江杭州,13503
1,全国联保等多件,13472
2,中国移动通信集团浙江有,13359
1,校园一卡通尾号充值,13269
2,广东移动手机话费充值元快充直充小时自动充即时到账,13235
0,短信费,13192
1,网上银行汇划,13087
2,上海统一星巴克咖啡有限公司星巴克,13069
1,金币,12942
2,年费元,12826
2,刷卡次免年费元,12818
2,上海拉扎斯信息科技有限公司,12785
2,掌上生活优惠券,12696
1,账单分期手续费,12694
2,腾讯公司,12672
1,建行深圳市分行还款,12657
1,银证转帐,12611
1,代发其他款项,12577
1,退货淘宝网购,12419
1,网银在线京东商城实物,12046
0,电子商务,12015
1,入账,11978
1,京东商城网银在线,11837
0,卖家版运费险,11750
2,发个人红包,11703
0,易联,11659
0,代收,11612
1,跨行费,11530
1,提现,11472
1,实时跨行汇款,11466
1,对私汇款,11447
0,异地消费,11347
2,网易产品,11139
2,百度在线网络技术北京有限,11083
1,利息税,10990
1,付款,10858
1,样样行消费分期期,10847
1,网上银行百度,10594
1,网银在线北京科技有,10558
1,信用卡预约还,10525
1,约定还款,10432
1,为交费元,10417
0,兆网盘,10261
1,批量业务个人小件商品付款,10238
1,退款,10120
2,星巴克咖啡有限公司,10028
2,北京通达无限科技有限公司,9984
1,第三方存管活期转保证金,9910
1,银联渠道转入,9876
0,电费,9867
2,广州网易计算机系统有限公司,9856
2,淘宝购物全国联保等多件,9706
2,手机银行费,9684
2,携程旅行网,9622
2,财付通滴滴打车,9534
1,提现实时提现,9511
2,短信服务费批量扣缴,9482
1,存款户转入,9482
0,代扣,9473
2,浙江网络科技有限公司,9407
2,小米科技号订单,9212
1,网银在线京东商城白条,9157
0,快钱快捷,9146
1,境内跨行取款同城手续费,9094
2,北京百付宝科技有限公司,9086
1,账户安全险,9039
2,代理服务费,8947
1,现金存入,8792
0,网上,8772
2,退款美团订单,8764
1,批量业务信使费,8711
1,代发电子商务划款,8711
0,掌钱便民综合缴费,8657
1,账单分期单期金额分期,8569
0,糯米网,8537
1,代发其它款项,8518
1,行内转账收入,8514
2,上海奇漾信息技术有限公司,8401
2,号店订单只为更好的生活,8307
2,江苏京东信息技术有限公司,8291
1,网银在线快捷支付,8259
1,基金业务,8253
1,收回贷款本息,8153
1,汇款,8140
1,扣收账单分期手续费,8119
2,苹果在线商店,8078
1,现金,8070
1,批量业务自动还款,8066
2,辰龙棋牌游戏,7921
2,天翼电子商务有限公司,7898
2,小米科技有限责任公司,7796
2,中国移动通信集团浙江有限公司,7783
2,游戏服务,7710
1,他行来账,7696
2,北京百度网讯科技有限公司,7688
2,群组红包,7542
1,网上银行费,7519
1,余额宝提现,7450
2,中国网络技术有限,7434
1,报销款,7426
1,样样行消费分期,7354
2,掌上生活手机充值,7346
1,现金存款,7343
2,网银在线京东商城移动实,7269
1,银联中心,7223
2,发群红包,7162
1,其他合法收入——网上交易款,7158
2,山东移动手机话费充值元快充直充小时自动充值即时到帐,7149
2,团购订单编号,7130
2,网银在线北京科技有限公司客户备付金,7126
1,兆网盘,7070
2,中国电信股份有限公司,7014
1,存款利息,7013
1,财付通付款,7007
2,全家购物,6930
1,大众版还款,6913
2,单项增值服务费用卡无忧收费,6849
1,好享贷分期手续费,6797
2,网银在线京东商城移动,6774
2,网易考拉海购订单编号,6769
1,本地交行存现,6763
1,账单分期一网通分期手续费,6758
1,账单分期一网通,6758
1,第三方存管保证金转活期,6656
0,报销,6647
2,－银联网关北京京东三佰陆拾度电子商务公司,6644
2,到店订单编号,6626
1,网银跨行还款,6535
0,冲正,6518
2,中国移动通信集团浙江有限公,6494
2,中国联合网络通信有限公司,6443
1,账单分期期,6438
0,招商,6315
2,纽海电子商务上海有限公司,6301
1,财智金手续费,6214
2,网易产品,6202
2,浙江移动手机话费充值元快充直充小时自动充值即时到账,6156
2,网易宝有限公司,6139
2,专车支付,6096
2,话费卡转让,6042
1,同城跨行取现手续费,6029
1,跨行消费,5988
1,易智付,5967
